day;article_number;polarity
02_05_2016;article_1;0.0747053872053872
02_05_2016;article_2;0.20838744588744587
03_05_2016;article_1;0.10208333333333335
04_05_2016;article_1;0.04513888888888889
04_05_2016;article_2;0.12143939393939394
04_05_2016;article_3;0.1222222222222222
04_05_2016;article_4;0.16050000000000003
04_05_2016;article_5;0.049901185770751
05_05_2016;article_1;0.16350931677018635
05_05_2016;article_2;0.04696428571428572
05_05_2016;article_3;0.24348958333333331
05_05_2016;article_4;0.28272727272727277
05_05_2016;article_5;0.043636363636363626
05_05_2016;article_6;0.15999999999999998
06_05_2016;article_1;-0.06375661375661375
06_05_2016;article_2;0.04404761904761905
06_05_2016;article_3;0.1638888888888889
06_05_2016;article_4;0.09970238095238095
06_05_2016;article_5;0.016919191919191917
06_05_2016;article_6;0.0555990095762823
09_05_2016;article_1;0.03339285714285714
10_05_2016;article_1;-0.02222222222222222
10_05_2016;article_2;-0.09283216783216781
10_05_2016;article_3;0.051923076923076926
10_05_2016;article_4;0.0373809523809524
10_05_2016;article_5;0.11544117647058824
11_05_2016;article_1;0.06950904392764858
11_05_2016;article_2;0.24318181818181817
11_05_2016;article_3;0.12840909090909092
11_05_2016;article_4;0.234375
11_05_2016;article_5;0.14754901960784317
11_05_2016;article_6;0.06111111111111111
11_05_2016;article_7;0.07157407407407407
11_05_2016;article_8;0.09999999999999999
12_05_2016;article_1;0.10581955922865015
12_05_2016;article_2;0.07165071770334928
12_05_2016;article_3;0.10765692640692641
12_05_2016;article_4;-0.09902892561983469
12_05_2016;article_5;0.17944444444444443
12_05_2016;article_6;0.11839549339549339
12_05_2016;article_7;0.1265625
13_05_2016;article_1;0.15880610617452723
13_05_2016;article_2;0.15880610617452723
13_05_2016;article_3;0.03636363636363636
13_05_2016;article_4;-0.07763157894736841
13_05_2016;article_5;0.008392857142857164
13_05_2016;article_6;0.2022727272727273
15_05_2016;article_1;-0.04444444444444444
